name,art_nr,country,volume,alc_vol,price
Minuty,Nr 73964,Frankrike,3 000 ml,"12,5 % vol.",1 029:-
Crazy Tropez,Nr 71235,Frankrike,750 ml,"12,5 % vol.",120:-
Gérard Bertrand,Nr 70419,Frankrike,750 ml,"12,5 % vol.",119:-
Marqués de Riscal,Nr 79295,Spanien,750 ml,"13,5 % vol.",119:-
The Per Gessle Selection,Nr 71456,Frankrike,750 ml,13 % vol.,99:-
Gérard Bertrand,Nr 70419,Frankrike,1 500 ml,"12,5 % vol.",229:-
Conde de San Cristóbal,Nr 50355,Spanien,750 ml,14 % vol.,209:-
Puech Noble Rosé,Nr 52215,Frankrike,750 ml,13 % vol.,169:-
Dacasto Duilio,Nr 53282,Italien,750 ml,"13,5 % vol.",181:-
Lyv Rosé,Nr 52465,Frankrike,1 500 ml,12 % vol.,219:-
Thomas Sippel,Nr 53692,Tyskland,1 000 ml,11 % vol.,124:-
Rosato,Nr 51838,Italien,750 ml,"12,5 % vol.",149:-
Mateus,Nr 51346,Portugal,187 ml,11 % vol.,35:-
Casas Patronales,Nr 52963,Chile,750 ml,"12,5 % vol.",149:-
Cuvée du Vatican,Nr 55667,Frankrike,750 ml,13 % vol.,119:-
Badet Clément,Nr 53455,Frankrike,750 ml,13 % vol.,190:-
Matosin Ljungbyholm Opolo,Nr 55249,Kroatien,750 ml,12 % vol.,349:-
Señorio de Sarria,Nr 51203,Spanien,750 ml,14 % vol.,132:-
Señorio de Sarria,Nr 53046,Spanien,750 ml,14 % vol.,112:-
Señorio de Sarria,Nr 50053,Spanien,750 ml,14 % vol.,108:-
Nostos,Nr 76412,Grekland,750 ml,14 % vol.,219:-
LivAzur,Nr 54851,Frankrike,750 ml,12 % vol.,129:-
Domaines Ott,Nr 54781,Frankrike,750 ml,"13,5 % vol.",369:-
Tour du Bon,Nr 54730,Frankrike,750 ml,13 % vol.,253:-
Tinta Negra,Nr 53945,Portugal,750 ml,12 % vol.,239:-
Zonin,Nr 53743,Italien,750 ml,11 % vol.,129:-
Otazu,Nr 51980,Spanien,750 ml,"13,5 % vol.",169:-
Munferié Vino Roasto,Nr 55934,Italien,750 ml,13 % vol.,189:-
Grand Mayne,Nr 76942,Frankrike,750 ml,12 % vol.,121:-
Velomar,Nr 51897,Spanien,750 ml,"12,5 % vol.",165:-
Lacino Asor,Nr 56195,Italien,750 ml,"12,5 % vol.",243:-
Etna Rosato Romice Delle Sciare,Nr 52875,Italien,750 ml,"13,5 % vol.",249:-
Roc de l'Abbaye,Nr 53866,Frankrike,750 ml,13 % vol.,229:-
Von Winning,Nr 55387,Tyskland,750 ml,12 % vol.,169:-
Clos de Lôm,Nr 58954,Spanien,750 ml,"14,5 % vol.",183:-
Poesia Etna Rosé,Nr 59326,Italien,750 ml,13 % vol.,195:-
Chateau Peychaud,Nr 59450,Frankrike,750 ml,"12,5 % vol.",139:-
Domaine de Font-Sane,Nr 59470,Frankrike,750 ml,15 % vol.,227:-
Corazón Loco Rosado,Nr 59533,Spanien,750 ml,"12,5 % vol.",175:-
Duc De Foix,Nr 59586,Spanien,750 ml,"13,5 % vol.",190:-
Novaripa,Nr 59589,Italien,750 ml,13 % vol.,115:-
Domaine De La Chaise,Nr 59660,Frankrike,750 ml,"12,5 % vol.",115:-
Quatre Tours,Nr 56715,Frankrike,750 ml,"12,5 % vol.",139:-
Chateau des Annibals,Nr 51662,Frankrike,750 ml,13 % vol.,169:-
Cuveé Rose Annibals,Nr 53188,Frankrike,750 ml,13 % vol.,149:-
Laroche,Nr 55331,Frankrike,750 ml,"12,5 % vol.",99:-
Nucleo,Nr 51818,Italien,1 000 ml,12 % vol.,247:-
Diego Morra,Nr 58026,Italien,750 ml,"13,5 % vol.",245:-
Ori Marani,Nr 53371,Georgien,750 ml,12 % vol.,249:-
Triennes Rosé,Nr 54215,Frankrike,1 500 ml,"12,5 % vol.",289:-
Milan Nestarec,Nr 56728,Tjeckien,1 000 ml,12 % vol.,265:-
