name,art_nr,country,volume,alc_vol,price
Duvanera,Nr 50809,Italien,750 ml,14 % vol.,177:-
il Principe,Nr 50984,Italien,750 ml,14 % vol.,189:-
Tenuta Carlin de Paolo,Nr 51266,Italien,750 ml,14 % vol.,189:-
Pic Saint-Loup,Nr 56854,Frankrike,750 ml,14 % vol.,180:-
Goccia Nuda,Nr 57131,Italien,750 ml,"13,5 % vol.",183:-
The Little Prince,Nr 57192,Grekland,750 ml,"12,5 % vol.",178:-
Ciavolich,Nr 53354,Italien,750 ml,"13,5 % vol.",185:-
Josic,Nr 53377,Kroatien,750 ml,14 % vol.,184:-
Tolmer,Nr 53448,Australien,750 ml,14 % vol.,179:-
Le Quattro Terre,Nr 53771,Italien,750 ml,13 % vol.,179:-
Corte Giara,Nr 53828,Italien,750 ml,"13,5 % vol.",189:-
Lirac Rouge,Nr 53862,Frankrike,750 ml,"14,5 % vol.",177:-
Barbera d'Alba Superiore,Nr 54016,Italien,750 ml,15 % vol.,189:-
Post House,Nr 54048,Sydafrika,750 ml,14 % vol.,189:-
The Barry Bros,Nr 54303,Australien,750 ml,13 % vol.,180:-
Roccheviberti,Nr 53061,Italien,750 ml,13 % vol.,179:-
Van Ardi,Nr 74341,Armenien,750 ml,"13,5 % vol.",178:-
Sileo,Nr 79719,Spanien,750 ml,14 % vol.,174:-
14 Hands,Nr 71364,USA,750 ml,"13,5 % vol.",179:-
Prunotto Mompertone,Nr 77974,Italien,750 ml,"14,5 % vol.",179:-
Preparatus Supervivet,Nr 75406,Frankrike,750 ml,"14,5 % vol.",185:-
K-or,Nr 72960,Frankrike,750 ml,13 % vol.,185:-
San Leonino,Nr 83368,Italien,750 ml,14 % vol.,189:-
Dolcetto d'Alba Nonna Marcellina,Nr 74314,Italien,750 ml,13 % vol.,179:-
Paolo Scavino,Nr 73151,Italien,750 ml,"13,5 % vol.",179:-
Ramón Bilbao,Nr 78055,Spanien,750 ml,14 % vol.,179:-
Selva Capuzza,Nr 70546,Italien,750 ml,"12,5 % vol.",173:-
Costa d´Orta,Nr 70592,Italien,750 ml,14 % vol.,180:-
Dune,Nr 70925,Australien,750 ml,14 % vol.,189:-
Pfaffl,Nr 76974,Österrike,750 ml,14 % vol.,179:-
Ennak,Nr 70103,Spanien,750 ml,14 % vol.,179:-
San Claudio II,Nr 2022,Italien,750 ml,"14,5 % vol.",189:-
Gardo & Morris,Nr 73825,Nya Zeeland,750 ml,13 % vol.,179:-
Trinity 6100,Nr 72887,Armenien,750 ml,15 % vol.,188:-
Rusél,Nr 73066,Italien,750 ml,13 % vol.,179:-
Rialto,Nr 76134,Italien,750 ml,"13,5 % vol.",174:-
Perica Viña Olagosa,Nr 81473,Spanien,750 ml,"13,5 % vol.",184:-
Iuli,Nr 72971,Italien,750 ml,"14,5 % vol.",179:-
Le Marie,Nr 72948,Italien,750 ml,13 % vol.,188:-
X-Berg,Nr 70908,Tyskland,750 ml,13 % vol.,189:-
Las Pisadas,Nr 74154,Spanien,750 ml,14 % vol.,189:-
Auxo,Nr 75452,Italien,750 ml,13 % vol.,179:-
Delta,Nr 71553,Nya Zeeland,750 ml,"13,5 % vol.",179:-
Il Monello,Nr 82462,Italien,750 ml,14 % vol.,189:-
Valpolicella Superiore,Nr 74391,Italien,750 ml,14 % vol.,187:-
Raro,Nr 71640,Spanien,750 ml,13 % vol.,179:-
Le Quattro Terre,Nr 53771,Italien,750 ml,13 % vol.,179:-
Corte Giara,Nr 53828,Italien,750 ml,"13,5 % vol.",189:-
Lirac Rouge,Nr 53862,Frankrike,750 ml,"14,5 % vol.",177:-
Barbera d'Alba Superiore,Nr 54016,Italien,750 ml,15 % vol.,189:-
Post House,Nr 54048,Sydafrika,750 ml,14 % vol.,189:-
The Barry Bros,Nr 54303,Australien,750 ml,13 % vol.,180:-
Le Morette V. Zenato,Nr 55420,Italien,750 ml,13 % vol.,179:-
12@,Nr 53946,Spanien,750 ml,"12,5 % vol.",174:-
Noi,Nr 75887,Italien,750 ml,14 % vol.,184:-
Villa Bibbiani,Nr 53133,Italien,750 ml,"14,5 % vol.",189:-
Weingut Becker,Nr 58586,Tyskland,750 ml,"12,5 % vol.",189:-
Rocca di Montemassi,Nr 75954,Italien,750 ml,14 % vol.,179:-
Zik Zak,Nr 78486,Portugal,750 ml,"13,5 % vol.",189:-
