snapdate,name,art_nr,country,volume,alc_vol,price,type
2023-09-08,Corpinnat INGENIUS,53074,Spain,750.0,12.5,194,Mousserande
2023-09-08,Bisol Jeio,77902,Italy,750.0,11.5,169,Mousserande
2023-09-08,Crémant d'Alsace,73043,France,750.0,13,199,Mousserande
2023-09-08,Enguera in a Bubble,72460,Spain,750.0,11.5,141,Mousserande
2023-09-08,Ruffino,79936,Italy,750.0,11,169,Mousserande
2023-09-08,Maschio,70319,Italy,750.0,11,129,Mousserande
2023-09-08,Vita Vivet,75554,Spain,750.0,11.5,140,Mousserande
2023-09-08,Il Frappato,77964,Italy,750.0,12.5,139,Mousserande
2023-09-08,Alberto Nani,77669,Italy,750.0,11,159,Mousserande
2023-09-08,Nashville Stories,75708,Italy,750.0,11,119,Mousserande
2023-09-08,Pizzolato,77185,Italy,200.0,11,45,Mousserande
2023-09-08,Casteloro,73179,Italy,750.0,11,59,Mousserande
2023-09-08,Soligo Solicum,76770,Italy,750.0,11.5,129,Mousserande
2023-09-08,Mas Comtal,77386,Spain,750.0,12,189,Mousserande
2023-09-08,Chang-Pang,76916,Spain,750.0,11.5,99,Mousserande
2023-09-08,Viva by Carolina Gynning,77339,Italy,750.0,11,131,Mousserande
2023-09-08,Cartemisia,78113,Italy,750.0,11,129,Mousserande
2023-09-08,Torelló Special Edition,77806,Spain,750.0,11.5,199,Mousserande
2023-09-08,Anna de Codorníu Organic,7369,Spain,750.0,11.5,119,Mousserande
2023-09-08,Bonchelli,79582,Italy,750.0,11,119,Mousserande
2023-09-08,Petit Albet,77373,Spain,750.0,12.5,119,Mousserande
2023-09-08,Naveran,77412,Spain,750.0,12.5,185,Mousserande
2023-09-08,El Gran Botánico,75372,Spain,750.0,11.5,109,Mousserande
2023-09-08,Avinyó,77988,Spain,750.0,11.5,195,Mousserande
2023-09-08,Avinyó,77434,Spain,750.0,12,199,Mousserande
2023-09-08,Parés Baltà,77124,Spain,750.0,11.5,139,Mousserande
2023-09-08,Veuve Ambal Crémant de Bourgogne,7911,France,750.0,12,199,Mousserande
2023-09-08,Pongrácz,58385,South Africa,750.0,12,150,Mousserande
2023-09-08,Castelmondo,73866,Italy,375.0,11,49,Mousserande
2023-09-08,Alice Bardot,51122,France,375.0,12.5,159,Mousserande
2023-09-08,Expression,7955,Spain,750.0,11.5,139,Mousserande
2023-09-08,It's a Pink,53022,Italy,750.0,11,119,Mousserande
2023-09-08,OH!,50474,Spain,750.0,11.5,121,Mousserande
2023-09-08,La Farra,7932,Italy,750.0,11.5,149,Mousserande
2023-09-08,DB,7940,Australia,750.0,11,89,Mousserande
2023-09-08,Vackra Valdemarsvik Bubbel,53620,Germany,750.0,11,149,Mousserande
2023-09-08,La Mundial,57367,Spain,750.0,7,125,Mousserande
2023-09-08,Karlstadbubblet,58071,Spain,750.0,11.5,159,Mousserande
2023-09-08,Pop Up,91112,United States,750.0,12.5,199,Mousserande
2023-09-08,Freixenet,72739,Italy,200.0,11,44,Mousserande
2023-09-08,Freixenet,7743,Spain,750.0,11.5,109,Mousserande
2023-09-08,Jansz,7957,Australia,750.0,12,199,Mousserande
2023-09-08,Njutbara Norrköping Bubbel,58408,Germany,750.0,11,149,Mousserande
2023-09-08,Mionetto,55231,Italy,200.0,11,48,Mousserande
2023-09-08,Skumpa,56113,Italy,750.0,7,59,Mousserande
2023-09-08,Clotilde Davenne,77741,France,375.0,12.5,115,Mousserande
2023-09-08,JP Chenet,70765,France,750.0,10.5,95,Mousserande
2023-09-08,Soalheiro,58374,Portugal,750.0,12,179,Mousserande
2023-09-08,Nashville Stories,59050,Italy,750.0,11.5,124,Mousserande
2023-09-08,Freixenet,51893,Italy,750.0,7,119,Mousserande
2023-09-08,Perlino,52932,Italy,375.0,11,69,Mousserande
2023-09-08,Karlskronabubblet,58090,Spain,750.0,11.5,159,Mousserande
2023-09-08,Östersundbubblet,58091,Spain,750.0,11.5,159,Mousserande
2023-09-08,Jaume Serra,75912,Spain,750.0,11.5,77,Mousserande
2023-09-08,Christine-Marié,7707,South Africa,750.0,11.5,179,Mousserande
2023-09-08,Bollicina,56586,Italy,750.0,10,99,Mousserande
2023-09-08,Jeio,50659,Italy,750.0,11,159,Mousserande
2023-09-08,Amore Bianca,51548,Italy,750.0,11,69,Mousserande
2023-09-08,Montanha,2818,Portugal,750.0,12,149,Mousserande
2023-09-08,Bellini Original Cocktail Cipriani,54391,Italy,750.0,5.5,177,Mousserande
2023-09-08,La Marca,77313,Italy,750.0,11,109,Mousserande
2023-09-08,Asti Martini,7706,Italy,1500.0,7,148,Mousserande
2023-09-08,Krone,74913,South Africa,750.0,11.5,129,Mousserande
2023-09-08,Federico Paternina,72768,Spain,750.0,11.5,79,Mousserande
2023-09-08,Celebrandum Reserva Seco,7574,Spain,750.0,11.5,89,Mousserande
2023-09-08,Cremant de Bourgogne,77791,France,750.0,12,155,Mousserande
2023-09-08,Dopff Brut Cuvée Julien,7410,France,750.0,12,159,Mousserande
2023-09-08,Les Fumées Blanches,71291,France,750.0,11.5,119,Mousserande
2023-09-08,Delias,52544,Italy,750.0,11,119,Mousserande
2023-09-08,Fita Azul,54038,Portugal,750.0,12,149,Mousserande
2023-09-08,Prosecco Calmaggiore,56701,Italy,750.0,11,169,Mousserande
2023-09-08,Calles Sekt,59462,Germany,750.0,12.5,189,Mousserande
2023-09-08,Höga Kusten,55682,Moldova,750.0,13,140,Mousserande
2023-09-08,Stockholm Edition,52177,Spain,750.0,11.5,139,Mousserande
2023-09-08,Crémant de Bourgogne,52426,France,750.0,12.5,165,Mousserande
2023-09-08,KungsbackaBubblet,52692,Spain,750.0,11.5,159,Mousserande
2023-09-08,Pregadeu,58921,Spain,750.0,11.5,179,Mousserande
2023-09-08,Saints & Sinners,57354,Austria,750.0,12.5,155,Mousserande
2023-09-08,Jaume Serra,73393,Spain,750.0,11.5,77,Mousserande
2023-09-08,Ernst Mousserande,73755,France,750.0,11,79,Mousserande
2023-09-08,ÖrebroBubblet,74501,Spain,750.0,11.5,159,Mousserande
2023-09-08,Casalforte,76927,Italy,750.0,11,129,Mousserande
2023-09-08,Canella,70605,Italy,750.0,11,179,Mousserande
2023-09-08,Demarie Luigi,77407,Italy,750.0,13,199,Mousserande
2023-09-08,Cavicchioli 1928,55271,Italy,750.0,11,101,Mousserande
2023-09-08,Federico Paternina,50445,Spain,750.0,12,109,Mousserande
2023-09-08,Romio Prosecco,50548,Italy,750.0,11.5,115,Mousserande
2023-09-08,Pasqua,50946,Italy,750.0,11,119,Mousserande
2023-09-08,Pignoletto,56650,Italy,750.0,11,188,Mousserande
2023-09-08,Villa Conchi,56843,Spain,750.0,11.5,149,Mousserande
2023-09-08,Fita Azul,56903,Portugal,750.0,12,139,Mousserande
2023-09-08,Fita Azul Exclusive,56954,Portugal,750.0,12,159,Mousserande
2023-09-08,Fita Azul Celebration,56955,Portugal,750.0,12,139,Mousserande
2023-09-08,Fita Azul,56956,Portugal,750.0,12,139,Mousserande
2023-09-08,Sagolika Söderköping,57280,Germany,750.0,11,149,Mousserande
2023-09-08,JP Chenet,70765,France,1500.0,10.5,199,Mousserande
2023-09-08,JP Chenet,76060,France,1500.0,11,199,Mousserande
2023-09-08,BiancaVigna,75676,Italy,750.0,11.5,169,Mousserande
2023-09-08,Astoria,77209,Italy,750.0,11,99,Mousserande
2023-09-08,Da Luca,72459,Italy,200.0,11,48,Mousserande
2023-09-08,André Delorme,74738,France,750.0,12,179,Mousserande
2023-09-08,Skumpa,74378,Italy,750.0,7,59,Mousserande
2023-09-08,Durbanville Hills,77156,South Africa,750.0,13.5,95,Mousserande
2023-09-08,Castelmondo Prosecco,73085,Italy,1500.0,11,195,Mousserande
2023-09-08,Alsace,77159,France,750.0,12,160,Mousserande
2023-09-08,Los Monteros,77537,Spain,750.0,11.5,109,Mousserande
2023-09-08,Pol Rémy,76100,France,200.0,11,32,Mousserande
2023-09-08,JP Chenet,70765,France,200.0,10.5,45,Mousserande
2023-09-08,Maschio Prosecco,76170,Italy,750.0,10.5,99,Mousserande
2023-09-08,Bolla,77753,Italy,750.0,11,149,Mousserande
2023-09-08,AnnoZero,70093,Italy,750.0,11,147,Mousserande
2023-09-08,Freixenet,88474,Spain,750.0,12,139,Mousserande
