id,name,country,volume,alcohol_volume,price,type
Nr 93914,Hervé Dubois,France,750.0,12,479,Mousserande
Nr 87661,Gosset,France,375.0,12,300,Mousserande
Nr 92006,Diebolt-Vallois,France,750.0,12.5,1051,Mousserande
Nr 95111,Louis Roederer,France,750.0,12.5,821,Mousserande
Nr 90327,Champagne Gosset,France,750.0,12,1339,Mousserande
Nr 56029,Cava Complicado de,Spain,750.0,11.5,111,Mousserande
Nr 55315,Hola MZ Cava Rosé,Spain,750.0,11.5,101,Mousserande
Nr 57601,Bouchard Aîné & Fils,France,750.0,12,121,Mousserande
Nr 7578,Patriarche,France,750.0,12,81,Mousserande
Nr 57114,Tareq Taylor,France,750.0,12,152,Mousserande
Nr 55154,Tr3 Apor,EU,750.0,8.5,76,Mousserande
Nr 54329,Castelmare,Italy,750.0,11.5,111,Mousserande
Nr 55062,Il Barone,Spain,750.0,11.5,71,Mousserande
Nr 56825,Disco Bubbles,EU,750.0,11,91,Mousserande
Nr 75189,Bolla Prosecco,Italy,750.0,11,81,Mousserande
Nr 53078,Chic Chanté,France,750.0,11,91,Mousserande
Nr 50022,Casa Marrone,Italy,750.0,12,61,Mousserande
Nr 56008,Julià & Navinès,Spain,750.0,11.5,101,Mousserande
Nr 55904,Scheuermann,Germany,750.0,12.5,160,Mousserande
Nr 55437,Karl Fredrik,Spain,750.0,11.5,100,Mousserande
Nr 7688,Louis Bouillot,France,375.0,12,90,Mousserande
Nr 56071,Jérôme Arnoux,France,750.0,12.5,190,Mousserande
Nr 54894,Le Bubblé,Sweden,750.0,7,70,Mousserande
Nr 52177,Stockholm Edition,Spain,750.0,11.5,141,Mousserande
Nr 50082,El Mar,Spain,750.0,11.5,71,Mousserande
Nr 55014,Berberana,Spain,750.0,11,69,Mousserande
Nr 50260,Hola,Spain,1500.0,11.5,201,Mousserande
Nr 77541,Gloria Prosecco,Italy,750.0,11.5,80,Mousserande
Nr 58385,Pongrácz,South Africa,750.0,12,152,Mousserande
Nr 7719,Charles Mignon,France,750.0,12,231,Mousserande
Nr 56183,Snabba Cash,Spain,750.0,11.5,122,Mousserande
Nr 56113,Skumpa,Italy,750.0,7,76,Mousserande
Nr 53772,Karl Fredrik,Italy,750.0,11.5,121,Mousserande
Nr 50391,Baglietti,Italy,750.0,11,111,Mousserande
Nr 53134,Nicolas Feuillatte,France,750.0,12,397,Mousserande
Nr 82301,Ruby Prosecco Rosé,Italy,750.0,11,81,Mousserande
Nr 82198,Pol Aimé,France,750.0,12,211,Mousserande
Nr 51113,unsweet,Spain,750.0,11.5,117,Mousserande
Nr 55271,Cavicchioli 1928,Italy,750.0,11,101,Mousserande
Nr 56521,Christoph Hoch,Austria,750.0,10.5,200,Mousserande
Nr 76086,Pierre Olivier,France,750.0,11.5,81,Mousserande
Nr 79587,Bolla,Italy,750.0,11,101,Mousserande
Nr 77025,Le Contesse,Italy,750.0,11,121,Mousserande
Nr 73220,Piccini Prosecco,Italy,750.0,11,97,Mousserande
Nr 73179,Casteloro,Italy,750.0,11,61,Mousserande
Nr 7738,Freixenet,Spain,750.0,12,101,Mousserande
Nr 55257,Motzenbäcker,Germany,750.0,13.5,191,Mousserande
Nr 59404,FiorAmore,Italy,750.0,11,111,Mousserande
Nr 77788,Parató Cava,Spain,750.0,12,215,Mousserande
Nr 77185,Pizzolato,Italy,200.0,11,40,Mousserande
Nr 78803,Robert Barbichon,France,750.0,12,378,Mousserande
Nr 76437,Vilarnau,Spain,750.0,12,111,Mousserande
Nr 74942,Bardolino Chiaretto,Italy,750.0,12,250,Mousserande
Nr 52494,Devaux,France,750.0,12,301,Mousserande
Nr 52542,Charles Mignon,France,750.0,12.5,301,Mousserande
Nr 7402,Revì Brut,Italy,750.0,12.5,121,Mousserande
Nr 52971,Bellissima,Italy,750.0,11.5,150,Mousserande
Nr 53214,Art,Spain,750.0,11.5,131,Mousserande
Nr 54621,Yves Ruffin,France,750.0,12,400,Mousserande
Nr 56571,Raimat,Spain,750.0,11.5,111,Mousserande
Nr 88204,Casa E. di Mirafiore,Italy,750.0,12,401,Mousserande
Nr 77669,Alberto Nani,Italy,750.0,11,141,Mousserande
Nr 77276,Dignitat,Spain,750.0,11.5,121,Mousserande
Nr 79208,Lanson,France,750.0,12.5,631,Mousserande
Nr 75339,Lelarge-Pugeot,France,750.0,12,512,Mousserande
Nr 77857,Agusti Torello Mata,Spain,750.0,12,276,Mousserande
Nr 77902,Bisol Jeio,Italy,750.0,11.5,161,Mousserande
Nr 79043,Giol,Italy,750.0,11,131,Mousserande
Nr 70287,Dignitat,Spain,750.0,11.5,111,Mousserande
Nr 76028,Isegrim,Germany,750.0,12.5,266,Mousserande
Nr 76523,Pet-Nat Bianco,Italy,750.0,11,231,Mousserande
Nr 57467,Integrale,Italy,750.0,10.5,131,Mousserande
Nr 57457,Integrale,Italy,750.0,10.5,131,Mousserande
Nr 58278,Cremant D'Alsace,France,750.0,12.5,287,Mousserande
Nr 58571,Antares,Italy,750.0,12.5,350,Mousserande
